,id,department,job,name
110,19995,Visual Effects,Visual Effects Supervisor,Anthony 'Max' Ivins
112,19995,Visual Effects,Visual Effects Supervisor,Eric Saindon
115,19995,Visual Effects,Visual Effects Supervisor,Guy Williams
117,19995,Lighting,Best Boy Electric,Giles Coburn
120,19995,Visual Effects,Animation Director,Jeremy Hollobon
122,19995,Visual Effects,Animation Director,Taisuke Tanimura
125,19995,Editing,Digital Intermediate,Marvin Hall
128,19995,Crew,CG Supervisor,Andrew Morley
137,19995,Crew,CG Supervisor,Brad Alexander
139,19995,Crew,CG Supervisor,Simon Clutterbuck
140,19995,Crew,CG Supervisor,Graeme Demmocks
142,19995,Crew,CG Supervisor,Mitch Gates
144,19995,Crew,CG Supervisor,Andy Lomas
145,19995,Crew,CG Supervisor,Sebastian Marino
146,19995,Crew,CG Supervisor,Matthias Menz
148,19995,Crew,CG Supervisor,Philippe Rebours
154,285,Directing,Director,Gore Verbinski
155,285,Production,Producer,Jerry Bruckheimer
158,285,Editing,Editor,Stephen E. Rivkin
160,285,Sound,Original Music Composer,Hans Zimmer
161,285,Production,Executive Producer,Mike Stenson
162,285,Production,Producer,Eric McLeod
166,285,Production,Casting,Denise Chamian
167,285,Art,Production Design,Rick Heinrichs
169,285,Production,Casting,Priscilla John
171,285,Costume & Make-Up,Costume Design,Liz Dann
175,285,Costume & Make-Up,Makeup Department Head,Ve Neill
179,285,Crew,Special Effects Coordinator,Allen Hall
182,285,Sound,Music Editor,Barbara McDermott
186,206647,Directing,Director,Sam Mendes
188,206647,Writing,Screenplay,John Logan
190,206647,Art,Production Design,Dennis Gassner
191,206647,Writing,Characters,Ian Fleming
195,206647,Costume & Make-Up,Costume Design,Jany Temime
197,206647,Production,Producer,Barbara Broccoli
200,206647,Sound,Sound Designer,Christopher Assells
204,206647,Writing,Screenplay,Robert Wade
208,206647,Production,Executive Producer,Callum McDougall
214,206647,Camera,Camera Operator,Lorenzo Senatore
216,206647,Sound,Orchestrator,J.A.C. Redford
218,206647,Production,Producer,Michael G. Wilson
243,206647,Directing,Script Supervisor,Nicoletta Mani
244,206647,Sound,Foley,John T. Cucci
246,206647,Camera,Steadicam Operator,Julian Morson
248,206647,Visual Effects,Visual Effects Producer,Ken Dailey
249,206647,Sound,Sound Designer,Ann Scibelli
257,206647,Editing,Dialogue Editor,Daniel Saxlid
259,206647,Crew,Visual Effects Editor,Anik Seguin
261,206647,Camera,Camera Operator,Lucas Bielan
263,206647,Sound,Sound Designer,Peter Staubli
268,206647,Crew,Makeup Effects,Susan Howard
272,206647,Visual Effects,Visual Effects Producer,Tim Keene
274,206647,Crew,Visual Effects Editor,Conor Byrne
277,206647,Crew,Visual Effects Editor,Crystal Hadcroft
279,206647,Visual Effects,Animation Director,Marlene Chazot
286,206647,Visual Effects,Visual Effects Supervisor,Stuart Bullen
293,206647,Costume & Make-Up,Assistant Costume Designer,Vivienne Jones
300,206647,Production,Casting Associate,Celebrity Booker
301,206647,Production,Casting Associate,Lucy Hellier
302,206647,Costume & Make-Up,Assistant Costume Designer,Richard Davies
311,206647,Costume & Make-Up,Makeup Artist,Yelska Labrada
312,206647,Costume & Make-Up,Makeup Artist,Ana Gabriela Quinonez
315,206647,Art,Assistant Art Director,Liam Georgensen
317,206647,Crew,Carpenter,John Allen
324,206647,Visual Effects,Visual Effects Coordinator,Shawn Smolensky
326,206647,Visual Effects,Visual Effects Coordinator,Alysia Wildman
332,206647,Visual Effects,Visual Effects Supervisor,Steven Begg
336,206647,Visual Effects,Visual Effects Supervisor,Mark Bakowski
343,49026,Directing,Director,Christopher Nolan
344,49026,Production,Producer,Christopher Nolan
357,49026,Costume & Make-Up,Makeup Artist,Karen Blynder
358,49026,Costume & Make-Up,Costume Design,Lindy Hemming
369,49026,Crew,Stunts,Declan Mulvey
371,49026,Art,Art Direction,Zack Grobler
373,49026,Crew,Stunts,Rick Avery
378,49026,Crew,Stunts,Philippe Vonlanthen
380,49026,Crew,Stunts,Doug Coleman
381,49026,Crew,Stunts,Anthony Molinari
387,49026,Art,Art Direction,Dean Wolcott
388,49026,Production,Casting,Toby Whale
390,49026,Art,Supervising Art Director,James Hambidge
392,49026,Costume & Make-Up,Set Costumer,Carmia Marshall
393,49026,Editing,Dialogue Editor,Hugo Weng
397,49026,Visual Effects,Visual Effects Producer,Mike Chambers
403,49026,Crew,Stunts,Samantha MacIvor
405,49026,Costume & Make-Up,Costume Supervisor,Laura Downing
407,49026,Crew,Stunts,Ray Siegle
413,49026,Crew,Special Effects Coordinator,Scott R. Fisher
419,49026,Crew,Visual Effects Editor,Derrick Mitchell
427,49026,Costume & Make-Up,Set Costumer,Hana Rausalova
430,49026,Crew,Dialect Coach,Paula Jack
434,49026,Art,Set Designer,Theodore Sharps
437,49026,Camera,Helicopter Camera,Hans Bjerno
443,49026,Directing,Assistant Director,Matthew Reedy
456,49026,Art,Art Direction,Jonathan Kevin Ong
457,49026,Costume & Make-Up,Hairstylist,Janice Alexander
459,49026,Costume & Make-Up,Hairstylist,Deena Adair
461,49026,Production,Production Manager,Michael Murray
462,49026,Production,Production Manager,Thomas Hayslip
472,49026,Crew,Scenic Artist,Elizabeth Tomasetti
475,49026,Sound,Sound Effects Editor,Michael Babcock
478,49026,Sound,Sound Effects Editor,Jeff Sawyer
479,49026,Sound,Sound Re-Recording Mixer,Carlos Solis
480,49026,Crew,Visual Effects Editor,Nick Dacey
483,49026,Crew,Visual Effects Editor,Steve Miller
484,49026,Crew,Visual Effects Editor,Christopher Payne
486,49026,Visual Effects,Visual Effects Supervisor,Paul J. Franklin
487,49026,Crew,CG Supervisor,Nicola Hoyle
494,49026,Camera,Camera Technician,Dane Bjerno
495,49026,Lighting,Rigging Gaffer,Ian Franklin
498,49026,Costume & Make-Up,Set Costumer,Lindsay Kouri
499,49026,Costume & Make-Up,Set Costumer,David Butler
500,49026,Editing,First Assistant Editor,Eric A. Lewy
507,49026,Production,Location Manager,James A. Mahathey
510,49026,Crew,Stunts,Brian Smyj
512,49026,Crew,Stunts,Ian Mclaughlin
517,49026,Directing,Assistant Director,Sid Karne
519,49026,Camera,Grip,Tom Prate
520,49026,Costume & Make-Up,Hairstylist,R. Cory McCutcheon
521,49026,Editing,Assistant Editor,Anne O'Brien
526,49026,Crew,Stunts,Dan Brown
527,49026,Camera,Grip,Adam Camacho
533,49026,Crew,Propmaker,Ray Maxwell
535,49026,Crew,Stunts,Marc Scizak
537,49026,Crew,Set Production Assistant,Damiano Fusca
538,49026,Crew,Stunts,Chris Cenatiempo
539,49026,Camera,Camera Intern,Joey J. Cook III
541,49026,Crew,Stunts,Scott Burik
542,49026,Crew,Stunts,Mike Burke
548,49026,Lighting,Rigging Grip,Kevin Flynn
554,49026,Costume & Make-Up,Prosthetic Supervisor,Conor O'Sullivan
555,49026,Sound,Sound Mixer,Nakul Kamte
556,49026,Production,Line Producer,Dileep Singh Rathore
557,49529,Writing,Screenplay,Andrew Stanton
558,49529,Directing,Director,Andrew Stanton
559,49529,Crew,Thanks,John Lasseter
560,49529,Production,Producer,Colin Wilson
563,49529,Editing,Editor,Eric Zumbrunnen
567,49529,Art,Set Decoration,Paki Smith
569,49529,Crew,In Memory Of,Steve Jobs
573,49529,Sound,Music,Michael Giacchino
574,49529,Camera,Director of Photography,Daniel Mindel
575,49529,Sound,Music Editor,Stephen M. Davis
576,49529,Art,Art Direction,John King
581,49529,Sound,Orchestrator,Tim Simonec
582,49529,Costume & Make-Up,Makeup Artist,Veronica McAleer
584,49529,Production,Casting,Marcia Ross
585,49529,Crew,Thanks,Peter Gabriel
588,49529,Production,Producer,Jim Morris
591,49529,Production,Unit Production Manager,Jan Foster
594,49529,Visual Effects,Visual Effects Supervisor,Peter Chiang
595,49529,Writing,Screenplay,Mark Andrews
598,49529,Costume & Make-Up,Makeup Department Head,Ve Neill
601,49529,Art,Art Direction,Dean Wolcott
605,49529,Art,Storyboard Designer,David Krentz
608,49529,Production,Associate Producer,Bob Roath
610,49529,Art,Storyboard Designer,Bryan Andrews
612,49529,Costume & Make-Up,Makeup Artist,Kevin Haney
618,49529,Production,Casting Assistant,Toby Spigel
620,49529,Sound,Sound Re-Recording Mixer,Michael Semanick
624,49529,Sound,Sound Designer,Tim Nielsen
628,49529,Art,Art Direction,Joseph Hodges
633,49529,Production,Production Supervisor,Jennifer Teves
634,49529,Costume & Make-Up,Key Makeup Artist,Kim Ayers
635,49529,Visual Effects,Visual Effects Producer,Daniel Barrow
637,49529,Costume & Make-Up,Key Makeup Artist,Paula Price
651,49529,Camera,Camera Operator,Simon Finney
652,49529,Costume & Make-Up,Makeup Artist,Eryn Krueger Mekash
653,49529,Art,Art Department Assistant,Travis Witkowski
657,49529,Costume & Make-Up,Makeup Artist,Deborah Taylor
659,49529,Costume & Make-Up,Key Makeup Artist,Camille Henderson
667,49529,Crew,Unit Publicist,Katherine McCormack
671,49529,Art,Art Department Assistant,Sarah Ginn
675,49529,Art,Art Department Assistant,Rachel Corbould
676,49529,Art,Art Department Assistant,Jake Hall
677,49529,Costume & Make-Up,Key Makeup Artist,Gemma Richards
679,49529,Costume & Make-Up,Makeup Artist,Paul Boyce
680,49529,Costume & Make-Up,Makeup Artist,Mandy Gold
683,49529,Sound,Boom Operator,Noel Espinosa
692,559,Directing,Director,Sam Raimi
693,559,Writing,Author,Stan Lee
700,559,Costume & Make-Up,Costume Design,James Acheson
704,559,Production,Producer,Grant Curtis
707,559,Production,Casting,Kathy Driscoll
708,559,Art,Production Design,J. Michael Riva
709,559,Art,Set Decoration,Leslie A. Pope
718,559,Production,Casting Assistant,Katie Taylor
720,559,Art,Set Designer,Kevin Cross
723,559,Art,Set Designer,Noelle King
724,559,Camera,Still Photographer,Merie Weismiller Wallace
727,559,Art,Set Designer,Andrea Dopaso
729,559,Art,Set Designer,Theodore Sharps
735,559,Production,Location Manager,Andrew Saxe
736,559,Production,Location Manager,John Fedynich
737,559,Production,Casting Assistant,Will F. Moore
738,559,Production,Casting Assistant,Lavelle Brown
739,559,Production,Casting Assistant,Merry Alderman
744,559,Production,Production Coordinator,Greg Outcalt
746,38757,Writing,Novel,Jacob Grimm
753,38757,Production,Producer,Roy Conli
756,38757,Editing,Editor,Tim Mertens
758,38757,Directing,Director,Byron Howard
760,38757,Sound,Sound Re-Recording Mixer,David E. Fluhr
761,38757,Directing,Director,Nathan Greno
762,38757,Production,Casting,Jamie Sparer Roberts
763,38757,Production,Executive Producer,Glen Keane
767,38757,Crew,Executive Music Producer,Chris Montan
772,38757,Sound,Music Supervisor,Tom MacDougall
773,38757,Sound,Sound Editor,Ai-Ling Lee
775,38757,Production,Production Supervisor,Tim Pauer
777,38757,Sound,Sound Designer,Cameron Frankley
778,38757,Production,Associate Producer,Aimee Scribner
779,38757,Visual Effects,Visual Development,James Finn
786,38757,Writing,Characters,Shiyoon Kim
788,38757,Visual Effects,Visual Development,Lisa Keene
789,38757,Production,Executive In Charge Of Post Production,Bérénice Robinson
799,38757,Lighting,Lighting Supervisor,Robert L. Miles
800,38757,Lighting,Lighting Supervisor,Brian Leach
802,38757,Lighting,Lighting Supervisor,Ernest J. Petti
805,38757,Visual Effects,Visual Development,Lauren Airriess
806,38757,Visual Effects,Visual Development,Justin Cram
813,38757,Directing,Layout,Allen Blaisdell
815,38757,Directing,Layout,Todd Allen Erickson
821,38757,Crew,Software Engineer,Brent Burley
823,38757,Crew,Supervising Animator,Mark Mitchell
825,99861,Sound,Supervising Sound Editor,Christopher Boyes
826,99861,Sound,Sound Re-Recording Mixer,Christopher Boyes
834,99861,Directing,Director,Joss Whedon
843,99861,Production,Executive Producer,Alan Fine
853,99861,Sound,Sound Designer,David Acord
857,99861,Art,Art Direction,Mark Swain
859,99861,Art,Art Direction,Phil Sims
867,99861,Crew,Second Unit Cinematographer,John Gamble
868,99861,Camera,Steadicam Operator,Julian Morson
869,99861,Camera,Camera Operator,Sam Renton
874,99861,Crew,Compositors,Chris O'Connell
880,99861,Camera,Camera Operator,Mark Moriarty
888,99861,Production,Co-Producer,Luca Marco Paracels
893,99861,Crew,Special Effects Coordinator,Ben Vokes
894,99861,Camera,Camera Operator,Ki S. Hwang
896,99861,Camera,Still Photographer,Jae-Hyeok Lee
897,99861,Production,Associate Producer,Jamie Christopher
902,767,Writing,Screenplay,Steve Kloves
908,767,Art,Art Direction,Alastair Bullock
909,767,Directing,Director,David Yates
910,767,Sound,Original Music Composer,Nicholas Hooper
911,767,Editing,Editor,Mark Day
913,767,Production,Producer,Tim Lewis
923,767,Costume & Make-Up,Assistant Costume Designer,Richard Davies
924,767,Sound,Production Sound Mixer,Stuart Wilson
926,209112,Production,Producer,Charles Roven
928,209112,Production,Executive Producer,Emma Thomas
930,209112,Production,Executive Producer,David S. Goyer
931,209112,Crew,Graphic Novel Illustrator,Frank Miller
932,209112,Writing,Novel,Frank Miller
940,209112,Art,Supervising Art Director,Troy Sizemore
942,209112,Production,Executive Producer,Benjamin Melniker
944,209112,Directing,Director,Zack Snyder
945,209112,Sound,Supervising Sound Editor,Scott Hecker
946,209112,Camera,Director of Photography,Larry Fong
948,209112,Writing,Characters,Jerry Siegel
951,209112,Sound,Sound Effects Editor,David Grimaldi
953,209112,Costume & Make-Up,Makeup Artist,Richard Redlefsen
956,209112,Editing,Digital Intermediate,Stefan Sonnenfeld
959,209112,Production,Executive Producer,Wesley Coller
961,209112,Production,Co-Producer,Gregory Wilson
963,209112,Art,Set Decoration,Carolyn 'Cal' Loucks
965,209112,Sound,Sound Re-Recording Mixer,Michael Keller
966,209112,Writing,Characters,Bill Finger
985,209112,Editing,Dialogue Editor,Daniel Saxlid
988,209112,Costume & Make-Up,Key Hair Stylist,Jules Holdren
989,209112,Camera,Helicopter Camera,David B. Nowell
991,209112,Art,Assistant Art Director,Shari Ratliff
995,209112,Directing,Script Supervisor,Amber Harley
996,209112,Lighting,Rigging Gaffer,Roger Meilink
999,209112,Visual Effects,Animation Director,Jade Mansueto
1000,209112,Production,Co-Producer,Curt Kanemoto
1001,209112,Costume & Make-Up,Set Costumer,Kate Abraham
1004,209112,Art,Art Department Coordinator,Deborah Jurvis
1010,209112,Visual Effects,Animation Supervisor,Eric Petey
1011,209112,Costume & Make-Up,Seamstress,Jessica R. Lawson
1012,209112,Costume & Make-Up,Assistant Costume Designer,J.R. Hawbaker
1013,209112,Visual Effects,VFX Editor,Lei Zhang
1014,209112,Visual Effects,VFX Editor,Michael Fournier
1016,209112,Art,Assistant Art Director,Tom Castronovo
1020,209112,Production,Casting Associate,Caitlin Well
1021,209112,Crew,Armorer,Gary Harper
1023,209112,Costume & Make-Up,Set Costumer,May Azzow
1025,209112,Costume & Make-Up,Set Costumer,Michael Welch
1027,209112,Crew,CG Supervisor,Gabriel Vargas
1029,209112,Camera,Camera Operator,William R. Dalgleish
1030,209112,Lighting,Gaffer,Jim Grce
1034,209112,Editing,Assistant Editor,Carlos Castillon
1035,209112,Editing,Assistant Editor,Jason Fields
1039,1452,Production,Producer,Gilbert Adler
1040,1452,Directing,Director,Bryan Singer
1044,1452,Sound,Original Music Composer,John Ottman
1047,1452,Writing,Story,Michael Dougherty
1052,1452,Production,Executive Producer,William Fay
1054,1452,Production,Executive Producer,Scott Mednick
1056,1452,Writing,Screenplay,Dan Harris
1061,10764,Art,Production Design,Dennis Gassner
1063,10764,Costume & Make-Up,Costume Design,Louise Frogley
1064,10764,Sound,Music,David Arnold
1065,10764,Editing,Editor,Richard Pearson
1069,10764,Directing,Director,Marc Forster
1071,10764,Editing,Editor,Matt Chesse
1072,10764,Writing,Screenplay,Robert Wade
1073,10764,Writing,Screenplay,Neal Purvis
1074,10764,Production,Executive Producer,Callum McDougall
1078,58,Directing,Director,Gore Verbinski
1081,58,Writing,Author,Ted Elliott
1083,58,Writing,Author,Terry Rossio
1087,58,Production,Executive Producer,Bruce Hendricks
1088,58,Production,Executive Producer,Mike Stenson
1089,58,Production,Executive Producer,Eric McLeod
1096,58,Costume & Make-Up,Makeup Department Head,Ve Neill
1100,57201,Directing,Director,Gore Verbinski
1101,57201,Production,Producer,Gore Verbinski
1104,57201,Production,Executive Producer,Ted Elliott
1105,57201,Writing,Screenplay,Terry Rossio
1106,57201,Production,Executive Producer,Terry Rossio
1119,57201,Art,Production Design,Jess Gonchor
1123,57201,Production,Casting,Jo Edna Boldin
1124,57201,Writing,Screenplay,Justin Haythe
1126,57201,Production,Executive Producer,Eric Ellenbogen
1128,57201,Sound,Music Editor,Peter Oso Snell
1129,57201,Visual Effects,Animation,Anthony Di Ninno
1131,57201,Crew,Visual Effects Editor,Mark Edward Wright
1140,49521,Production,Producer,Emma Thomas
1143,49521,Writing,Story,David S. Goyer
1147,49521,Art,Set Decoration,Anne Kuljian
1151,49521,Directing,Director,Zack Snyder
1153,49521,Writing,Characters,Jerry Siegel
1156,49521,Production,Executive Producer,Thomas Tull
1160,49521,Sound,Orchestrator,Kevin Kaska
1164,49521,Writing,Storyboard,Jay Oliva
1172,49521,Visual Effects,Visual Effects,Anthony Di Ninno
1174,49521,Crew,Stunt Coordinator,Damon Caro
1177,49521,Crew,Special Effects,Dan Youngs
1181,49521,Editing,Assistant Editor,Warren Paeff
1186,2454,Production,Associate Producer,Matthew Stillman
1189,2454,Directing,Director,Andrew Adamson
1190,2454,Production,Producer,Andrew Adamson
1197,2454,Art,Production Design,Roger Ford
1200,2454,Writing,Screenplay,Christopher Markus
1202,2454,Sound,Original Music Composer,Harry Gregson-Williams
1203,2454,Camera,Director of Photography,Karl Walter Lindenlaub
1204,2454,Art,Art Direction,Jules Cook
1208,2454,Production,Casting,Nancy Bishop
1210,2454,Art,Art Direction,Jiří Sternwald
1211,2454,Art,Supervising Art Director,Frank Walsh
1215,2454,Art,Art Direction,Jill Cormack
1219,2454,Crew,Second Unit Cinematographer,Brad Shield
1230,2454,Sound,Music Editor,Kirsty Whalley
1237,2454,Lighting,Gaffer,Petr Konrád
1243,2454,Camera,Camera Operator,Gregory Lundsgaard
1247,2454,Camera,Still Photographer,Taylor Tulip-Close
1254,2454,Crew,Special Effects,Hauk Olafsson
1255,2454,Production,Associate Producer,Luca Marco Paracels
1260,2454,Costume & Make-Up,Costume Supervisor,Nicola Clegg
1261,2454,Costume & Make-Up,Set Costumer,Samantha Morley
1269,24428,Camera,Director of Photography,Seamus McGarvey
1273,24428,Visual Effects,Visual Effects Supervisor,Greg Strause
1274,24428,Writing,Comic Book,Stan Lee
1280,24428,Costume & Make-Up,Wigmaker,Erwin H. Kupitz
1281,24428,Directing,Director,Joss Whedon
1283,24428,Writing,Story,Joss Whedon
1289,24428,Writing,Story,Zak Penn
1290,24428,Writing,Characters,Jack Kirby
1292,24428,Production,Casting,Randi Hiller
1293,24428,Art,Art Direction,Randy Moore
1301,24428,Production,Executive Producer,Jeremy Latcham
1304,24428,Art,Set Designer,Jim Hewitt
1305,24428,Art,Art Direction,Gregory S. Hooper
1307,24428,Art,Art Direction,Jann Engel
1312,24428,Art,Art Direction,William O. Hunter
1320,24428,Directing,Script Supervisor,Trudy Ramirez
1321,24428,Crew,Visual Effects Art Director,Aaron McBride
1322,24428,Art,Assistant Art Director,Stephen Morahan
1324,24428,Art,Set Designer,Aric Cheng
1325,24428,Art,Art Department Coordinator,Candice Muriedas
1331,24428,Visual Effects,Visual Effects Supervisor,Alessandro Cioffi
1334,24428,Visual Effects,Visual Effects Producer,Susan Pickett
1336,24428,Art,Construction Coordinator,John Hoskins
1337,24428,Costume & Make-Up,Set Costumer,Bob Moore Jr.
1342,24428,Visual Effects,Visual Effects Producer,Sean Cushing
1349,24428,Visual Effects,Visual Effects Supervisor,Matt McDonald
1351,24428,Visual Effects,Visual Effects Supervisor,Guy Williams
1354,24428,Production,Production Supervisor,Nadia Paine
1355,24428,Art,Art Department Coordinator,Marcella Brennan
1357,24428,Art,Sculptor,Clark Kelly
1364,24428,Visual Effects,Visual Effects Producer,John L. Jack
1366,24428,Crew,Visual Effects Editor,James Meikle
1368,24428,Crew,Visual Effects Editor,Cameron Sharp
1373,24428,Visual Effects,Visual Effects Supervisor,Janek Sirrs
1375,24428,Visual Effects,Visual Effects Supervisor,Jeff White
1376,24428,Camera,Camera Operator,Christopher A. Schenck
1378,24428,Camera,Camera Operator,John S. Moyer
1381,24428,Crew,Video Assist Operator,Jimi Johnson
1382,24428,Lighting,Lighting Technician,Sherman Jackson
1387,24428,Visual Effects,Animation Director,Tom Meade
1388,24428,Costume & Make-Up,Set Costumer,Paul John Carli
1389,24428,Costume & Make-Up,Set Costumer,Scott T. Coppock
1398,24428,Crew,Studio Teachers,Allegro Hopkins
1401,24428,Production,Publicist,Ruben Malaret
1405,24428,Crew,Visual Effects Editor,Chris O'Connell
1407,24428,Visual Effects,Visual Effects,Scott F. Johnston
1408,24428,Crew,Compositors,Brian N. Bentley
1411,24428,Visual Effects,Animation,Travis Tohill
1415,1865,Writing,Screenplay,Ted Elliott
1417,1865,Production,Executive Producer,Terry Rossio
1423,1865,Sound,Music Supervisor,Bob Badami
1424,1865,Editing,Editor,David Brenner
1425,1865,Sound,Supervising Sound Editor,Shannon Mills
1426,1865,Sound,Sound Effects Editor,Dee Selby
1427,1865,Production,Executive Producer,Barry H. Waldman
1428,1865,Art,Set Decoration,Gordon Sim
1429,1865,Art,Production Design,John Myhre
1430,1865,Directing,Director,Rob Marshall
1431,1865,Sound,Sound Re-Recording Mixer,Paul Massey
1433,1865,Costume & Make-Up,Makeup Department Head,Ve Neill
1435,1865,Art,Set Decoration,Missy Parker
1436,1865,Editing,Dialogue Editor,Michael Hertlein
1444,1865,Sound,Sound Effects Editor,David C. Hughes
1447,1865,Sound,Sound Effects Editor,Adam Kopald
1450,1865,Sound,Music Editor,Katia Lewin Jablonsky
1452,41154,Production,Executive Producer,Steven Spielberg
1454,41154,Production,Casting,Ellen Chenoweth
1456,41154,Art,Production Design,Bo Welch
1457,41154,Directing,Director,Barry Sonnenfeld
1462,41154,Costume & Make-Up,Costume Design,Mary E. Vogt
1467,41154,Art,Supervising Art Director,Maya Shimoguchi
1469,41154,Art,Art Direction,Luke Freeborn
1471,41154,Camera,Camera Technician,Daniel Erickson
1474,122917,Sound,Sound Re-Recording Mixer,Christopher Boyes
1475,122917,Directing,Director,Peter Jackson
1476,122917,Production,Producer,Peter Jackson
1478,122917,Writing,Novel,J.R.R. Tolkien
1489,122917,Production,Casting,Liz Mullane
1494,122917,Production,Producer,Carolynne Cunningham
1498,122917,Art,Set Decoration,Simon Bright
1499,122917,Art,Supervising Art Director,Simon Bright
1501,122917,Production,Producer,Zane Weiner
1502,122917,Art,Leadman,David Kolff
1504,122917,Art,Art Direction,Andy McLaren
1505,122917,Crew,Property Master,Nick Weir
1506,122917,Costume & Make-Up,Set Costumer,Jenny Rushton
1507,122917,Lighting,Rigging Gaffer,David Brown
1508,122917,Production,Casting,Amy Hubbard
1511,122917,Production,Executive Producer,Carolyn Blackwood
1512,122917,Sound,Sound Effects Editor,Justin Doyle
1516,122917,Sound,Foley,John Simpson
1517,122917,Art,Conceptual Design,Ben Mauro
1524,122917,Camera,Still Photographer,James H. Fisher
1534,122917,Crew,CG Supervisor,Daniele Tosti
1535,122917,Crew,CG Supervisor,Alessandro Saponi
1542,122917,Sound,Sound Effects Editor,Hayden Collow
1543,122917,Sound,Sound Effects Editor,Melanie Graham
1544,122917,Visual Effects,Animation Manager,Nicky Muir
1546,122917,Sound,Sound Re-Recording Mixer,Gary Summers
1551,122917,Visual Effects,VFX Artist,Matt Weaver
1552,122917,Lighting,Lighting Artist,Arun Ram-Mohan
1555,122917,Costume & Make-Up,Hairstylist,Georgia Lockhart-Adams
1556,122917,Costume & Make-Up,Hairstylist,Flora Moody
1557,122917,Costume & Make-Up,Makeup Artist,Michele Barber
1561,122917,Art,Assistant Art Director,Joshua Barraud
1568,122917,Art,Set Designer,Gavin Urquhart
1569,122917,Art,Set Designer,Richard Wiles
1570,122917,Sound,ADR & Dubbing,Neil Aldridge
1574,122917,Visual Effects,Animation Supervisor,Michael Cozens
1579,122917,Visual Effects,Animation Production Assistant,Kirstin Cambie
1581,122917,Crew,Visual Effects Editor,Aaron Cubis
1586,122917,Visual Effects,VFX Supervisor,Ronnie Menahem
1587,122917,Visual Effects,VFX Supervisor,David Caeiro Cebrián
1588,122917,Camera,Camera Operator,Simon Harding
1589,122917,Camera,Still Photographer,Mark Pokorny
1590,122917,Costume & Make-Up,Set Costumer,Sally Gray
1591,122917,Costume & Make-Up,Set Costumer,Charlotte Hayes
1592,122917,Sound,Music Editor,Jeremy Cullen
1605,1930,Production,Executive Producer,Stan Lee
1617,1930,Costume & Make-Up,Makeup Department Head,Bill Corso
1625,1930,Visual Effects,Visual Effects Supervisor,Jerome Chen
1626,1930,Production,Executive Producer,Michael Grillo
1631,1930,Art,Assistant Art Director,Paul Sonski
1632,1930,Directing,Director,Marc Webb
1635,1930,Art,Assistant Art Director,Miguel López-Castillo
1636,1930,Art,Art Direction,Suzan Wexler
1639,1930,Sound,Foley,Robin Harlan
1640,1930,Costume & Make-Up,Makeup Department Head,Vincent Schicchi
1643,1930,Costume & Make-Up,Set Costumer,David Fernandez
1644,1930,Visual Effects,Visual Effects Producer,Matt Daly
1646,1930,Crew,Dialect Coach,Elizabeth Himelstein
1647,1930,Art,Leadman,Russell R. Anderson
1648,1930,Art,Sculptor,Cuitlahuac Morales Velazquez
1649,1930,Directing,Script Supervisor,Trisha Burton
1657,1930,Visual Effects,Visual Effects Producer,Julie Orosz
1660,1930,Art,Construction Coordinator,Joseph Alfieri
1662,1930,Art,Art Department Coordinator,Nancy A. King
1671,1930,Art,Set Designer,William J. Law III
1672,1930,Art,Set Designer,Thomas Machan
1674,1930,Crew,Visual Effects Editor,John Berri
1677,1930,Visual Effects,Visual Effects Supervisor,Joe Farrell
