,id,vote_average,vote_count
353,7446,6.5,1667.0
354,65754,7.2,2434.0
355,1572,6.9,2066.0
356,10528,7.0,5766.0
357,271969,5.3,621.0
358,10865,6.7,1224.0
359,258509,5.8,428.0
360,2253,6.7,1173.0
361,10661,5.5,1048.0
362,257344,5.6,2513.0
363,644,6.8,1974.0
364,10756,5.2,466.0
365,686,7.2,1308.0
366,9383,5.6,634.0
367,179,6.2,392.0
368,76285,5.9,1648.0
369,1996,5.5,1418.0
370,291805,6.7,3235.0
371,10003,5.9,302.0
372,1535,6.8,579.0
373,2067,5.7,369.0
374,46195,6.5,2166.0
375,2277,6.9,963.0
376,10357,5.2,376.0
377,4477,5.9,290.0
378,8665,6.1,264.0
379,9387,6.6,650.0
380,921,7.3,616.0
381,49852,5.4,50.0
382,4464,6.7,216.0
383,664,6.1,950.0
384,8358,7.5,3218.0
385,9836,5.9,1410.0
386,2502,7.2,2825.0
387,9772,6.2,840.0
388,161,7.2,3783.0
389,52451,5.6,924.0
390,76492,6.8,2566.0
391,4523,6.6,1449.0
392,59961,6.3,1345.0
393,10481,5.1,313.0
394,59108,5.8,932.0
395,1581,6.7,1225.0
396,9798,6.7,1240.0
397,22897,6.2,360.0
398,298,6.5,1999.0
399,7484,6.1,656.0
400,157350,6.9,4663.0
401,853,7.2,999.0
402,10159,6.4,514.0
403,9593,6.1,712.0
404,1904,7.3,652.0
405,9615,6.1,1705.0
406,51052,6.7,333.0
407,297,6.9,1147.0
408,9884,5.5,427.0
409,16858,7.3,85.0
410,62764,5.5,1114.0
411,22538,7.2,2126.0
412,9341,5.4,516.0
413,12107,4.7,332.0
414,9637,5.4,820.0
415,49049,6.6,1940.0
416,9339,6.0,2104.0
417,16281,6.7,226.0
418,39691,4.9,119.0
419,8247,5.9,1799.0
420,11253,6.5,1527.0
421,1949,7.3,2023.0
422,8452,5.7,595.0
423,310,6.4,3012.0
424,27578,6.0,2926.0
425,954,6.7,2631.0
426,70160,6.9,9455.0
427,45243,6.2,3739.0
428,364,6.6,1673.0
429,7518,6.3,1074.0
430,11544,7.1,1314.0
431,9986,5.8,288.0
432,8656,5.9,855.0
433,146216,6.4,1526.0
434,9291,6.2,785.0
435,55301,5.4,484.0
436,109418,5.8,1155.0
437,11665,6.0,1051.0
438,6964,6.3,410.0
439,11324,7.8,6336.0
440,12193,5.3,331.0
441,9928,6.0,1333.0
442,754,6.8,1583.0
443,10202,5.9,901.0
444,4147,7.3,1077.0
445,50546,6.3,1543.0
446,1701,6.5,1270.0
447,13027,6.3,1018.0
448,2289,6.7,533.0
449,20504,6.6,2164.0
450,9574,5.3,695.0
451,11618,5.2,369.0
452,2300,6.5,1288.0
453,12096,5.6,550.0
454,10200,5.2,1043.0
455,8834,6.5,431.0
456,228150,7.4,3946.0
457,6068,5.6,332.0
458,41515,5.2,220.0
459,9023,7.4,831.0
460,38317,5.3,498.0
461,2157,5.0,388.0
462,14462,6.2,393.0
463,161795,8.0,1.0
464,159824,6.7,1497.0
465,49948,7.0,292.0
466,2135,5.8,631.0
467,9822,5.9,208.0
468,9705,6.1,932.0
469,1656,5.9,893.0
470,12159,6.8,577.0
471,9678,5.2,438.0
472,4442,5.6,818.0
473,75,6.1,1509.0
474,330770,6.4,47.0
475,9433,6.7,349.0
476,19959,5.9,1195.0
477,11973,6.9,189.0
478,11228,5.8,378.0
479,77951,5.2,133.0
480,5491,3.0,255.0
481,10715,5.6,297.0
482,10197,5.1,165.0
483,9562,5.4,318.0
484,9922,6.1,299.0
485,9447,5.2,305.0
486,274854,5.7,1316.0
487,8870,5.4,267.0
488,9992,6.0,639.0
489,36970,7.3,111.0
490,10077,4.8,111.0
491,76649,5.2,1267.0
492,293644,5.3,9.0
493,453,7.7,3009.0
494,8587,8.0,5376.0
495,72545,5.8,1030.0
496,109451,6.4,915.0
497,9533,6.7,1115.0
498,2023,6.5,318.0
499,71880,4.1,604.0
500,584,6.2,2028.0
501,309809,7.6,756.0
502,4858,5.7,359.0
503,17711,3.9,87.0
504,328111,5.9,3462.0
505,8698,5.7,1155.0
506,93456,7.0,4637.0
507,602,6.7,3260.0
508,330,6.2,2487.0
509,953,6.6,3237.0
510,9693,7.4,2071.0
511,36657,6.8,4097.0
512,8909,6.4,2528.0
513,9802,6.9,1456.0
514,950,6.5,2951.0
515,1824,6.6,2105.0
516,2976,6.5,709.0
517,11026,4.7,183.0
518,332,4.3,318.0
519,75656,7.3,5487.0
520,38365,6.0,1705.0
521,594,7.0,1910.0
522,15189,5.7,202.0
523,11678,5.9,283.0
524,6538,6.5,338.0
525,10555,5.8,1557.0
526,1125,6.6,284.0
527,4551,5.4,292.0
528,612,6.9,696.0
529,9567,6.4,573.0
530,37821,5.7,772.0
531,203801,7.1,2265.0
532,2539,5.8,369.0
533,9297,6.3,874.0
534,3172,6.2,302.0
535,6520,5.9,311.0
536,1439,6.4,197.0
537,37958,5.7,880.0
538,2026,6.2,512.0
539,7450,6.3,313.0
540,11375,5.0,166.0
541,9425,6.1,221.0
542,25769,5.8,282.0
543,23685,4.3,78.0
544,11866,5.7,276.0
545,9741,6.9,1946.0
546,211672,6.4,4571.0
547,23629,5.9,1623.0
548,8688,5.8,327.0
549,10153,5.8,476.0
550,153518,5.9,1022.0
551,8676,5.4,444.0
552,20829,5.7,390.0
553,4349,6.5,513.0
554,9718,6.2,491.0
555,10808,4.9,410.0
556,197,7.7,3336.0
557,25,6.6,765.0
558,35,6.9,2264.0
559,11086,6.6,188.0
560,10477,4.5,179.0
561,1997,6.9,180.0
562,6947,6.2,1071.0
563,3050,5.4,686.0
564,2675,6.4,1599.0
565,809,6.7,2988.0
566,920,6.6,3877.0
567,4806,5.7,455.0
568,7451,5.8,1424.0
569,228165,5.8,719.0
570,3595,6.4,470.0
571,16869,7.9,6430.0
572,879,6.6,1532.0
573,1573,6.6,1896.0
574,9257,5.8,770.0
575,1903,6.5,1078.0
576,9697,5.3,409.0
577,395,5.5,1217.0
578,23398,5.4,666.0
579,10590,6.7,521.0
580,117263,6.2,2981.0
581,200,6.3,391.0
582,44943,5.5,1448.0
583,587,7.6,1994.0
584,10395,6.0,216.0
585,57212,7.0,992.0
586,152760,5.8,1523.0
587,2756,7.1,808.0
588,33909,5.8,493.0
589,49017,6.2,2389.0
590,9882,6.0,352.0
591,2270,7.1,1184.0
592,978,7.0,630.0
593,44564,5.2,304.0
594,3132,5.4,228.0
595,8814,5.0,609.0
596,8427,5.2,269.0
597,52520,6.1,1862.0
598,80585,6.0,385.0
599,10592,5.9,241.0
600,49021,6.1,695.0
601,11535,3.4,106.0
602,10550,4.3,97.0
603,11258,5.5,179.0
604,12610,5.9,228.0
605,59981,5.9,43.0
606,201088,5.1,826.0
607,5137,5.7,439.0
608,3093,4.6,180.0
609,107846,6.7,1659.0
610,188207,4.4,533.0
611,4614,5.9,437.0
612,24021,5.8,2301.0
613,11371,6.7,423.0
614,20352,7.1,6478.0
615,11517,5.4,222.0
616,214756,6.2,2463.0
617,26428,6.9,395.0
618,9824,5.7,250.0
619,48988,5.4,611.0
620,9008,7.3,481.0
621,300673,6.3,588.0
622,12113,6.5,895.0
623,38778,5.5,531.0
624,72331,5.5,1269.0
625,1844,6.0,602.0
626,846,6.6,488.0
627,9703,5.0,207.0
628,857,7.9,5048.0
629,136797,6.1,1520.0
630,3981,6.1,992.0
631,425,7.1,3857.0
632,6171,5.3,567.0
633,72976,6.7,1429.0
634,603,7.9,8907.0
635,568,7.3,1599.0
636,9021,5.5,297.0
637,82695,7.1,1884.0
638,9489,6.3,838.0
639,12133,6.5,1062.0
640,9342,6.3,1183.0
641,41733,6.2,1685.0
642,227306,7.3,1400.0
643,5551,6.3,403.0
644,9350,6.1,588.0
645,9208,5.7,453.0
646,4244,6.0,238.0
647,1852,5.9,447.0
648,11820,6.5,393.0
649,76493,5.9,1743.0
650,345,7.1,1234.0
651,196867,6.0,466.0
652,256591,6.7,2542.0
653,59962,5.9,1389.0
654,36648,5.7,1252.0
655,1880,6.4,215.0
656,9440,6.1,94.0
657,71679,5.6,1600.0
658,10483,6.0,1175.0
659,11412,6.5,314.0
660,11983,6.0,208.0
661,6795,6.1,779.0
662,550,8.3,9413.0
663,11170,6.7,186.0
664,9292,5.4,269.0
665,10783,4.9,52.0
666,100241,5.0,687.0
667,257,6.7,274.0
668,9947,4.8,575.0
669,189,6.3,1286.0
670,12618,5.3,63.0
671,253412,6.7,1772.0
672,1427,7.1,1165.0
673,818,5.9,979.0
674,16577,6.1,409.0
675,329,7.6,4856.0
676,12160,6.5,202.0
677,9331,6.4,386.0
678,300168,5.9,145.0
679,9072,5.3,261.0
680,3536,6.1,340.0
681,9087,6.5,195.0
682,12177,4.3,242.0
683,12138,5.8,178.0
684,273248,7.6,4274.0
685,9955,5.9,569.0
686,50359,5.5,331.0
687,1271,7.0,4997.0
688,693,6.1,1373.0
689,14306,6.9,1343.0
690,497,8.2,4048.0
691,11199,5.6,648.0
692,9982,5.6,944.0
693,210577,7.9,5862.0
694,2501,7.3,3583.0
695,710,6.6,1174.0
696,2275,6.1,205.0
697,37165,7.8,4537.0
698,9837,6.8,817.0
699,10708,5.6,506.0
700,136400,6.6,1589.0
701,10992,5.0,352.0
702,9654,6.6,1919.0
703,2642,5.9,487.0
704,8916,6.0,1272.0
705,19899,5.3,588.0
706,2119,5.9,353.0
707,9641,5.7,526.0
708,294254,6.4,3040.0
709,38167,5.8,636.0
710,5994,6.5,521.0
711,39514,6.6,2808.0
712,9563,6.8,422.0
713,547,6.7,292.0
714,1538,7.0,1451.0
715,9334,5.3,779.0
716,11128,6.2,207.0
717,75780,6.3,2998.0
718,8914,5.6,604.0
719,13576,6.7,247.0
720,39538,6.2,1325.0
721,10628,4.3,203.0
722,14836,7.3,1386.0
723,8645,4.9,950.0
724,9509,7.3,1553.0
725,10067,4.5,137.0
726,9384,5.6,644.0
727,9279,5.5,575.0
728,1487,6.5,2225.0
729,9422,6.1,109.0
730,77174,6.7,789.0
731,4824,6.1,527.0
732,9620,5.9,581.0
733,9302,5.9,50.0
734,10199,5.8,258.0
735,10771,5.3,483.0
736,3512,5.6,210.0
737,137094,5.9,1173.0
738,274479,6.4,1581.0
739,267860,5.8,1621.0
740,8078,5.9,1365.0
741,7485,6.9,1462.0
742,170687,6.6,668.0
743,6435,6.3,338.0
744,137106,7.5,3070.0
745,10040,5.3,425.0
746,6278,6.0,669.0
747,82682,6.2,1778.0
748,17610,4.6,524.0
749,22954,7.0,1125.0
750,16995,6.7,484.0
751,16558,5.7,201.0
752,9849,5.1,80.0
753,5820,5.8,225.0
754,16866,5.6,556.0
755,201,6.1,479.0
756,11775,5.8,391.0
757,87825,6.6,366.0
758,12201,6.2,487.0
759,11015,5.8,130.0
760,9932,5.7,380.0
761,13389,5.9,375.0
762,8838,6.0,368.0
763,17332,6.6,234.0
764,4958,6.3,251.0
765,786,7.4,797.0
766,9513,5.1,464.0
767,11679,4.7,549.0
768,38321,5.4,692.0
769,14411,6.6,372.0
770,8413,6.5,742.0
771,10052,6.1,204.0
772,9676,5.7,287.0
773,9664,6.3,271.0
774,2100,7.0,285.0
775,10384,4.9,109.0
776,137321,6.0,487.0
777,123553,6.2,1602.0
778,11260,5.0,371.0
779,9009,5.3,274.0
780,11374,5.7,166.0
781,2309,6.0,592.0
782,8285,4.7,320.0
783,210860,5.4,1055.0
784,2312,4.1,224.0
785,9839,6.7,110.0
786,381902,6.0,24.0
787,13922,6.8,91.0
788,293660,7.4,10995.0
789,9713,4.9,111.0
790,190859,7.4,4469.0
791,257445,6.2,995.0
792,9007,6.5,579.0
793,889,4.4,134.0
794,1370,5.7,690.0
795,4942,5.7,130.0
796,347969,4.9,388.0
797,24438,5.1,276.0
798,116741,6.1,1658.0
799,35791,5.8,1363.0
800,72431,5.9,178.0
801,1813,7.2,1374.0
802,87428,5.5,453.0
803,8840,6.4,535.0
804,10589,6.0,226.0
805,71676,4.7,1135.0
806,1722,5.5,145.0
807,10022,5.8,842.0
808,11358,6.0,381.0
809,13,8.2,7927.0
810,6477,5.5,1177.0
811,1597,6.6,1698.0
812,10530,6.7,1457.0
813,1924,6.9,1022.0
814,9327,5.4,702.0
815,8488,6.4,1665.0
816,10603,5.4,496.0
817,8273,6.0,1129.0
818,109424,7.6,2454.0
819,35056,5.9,1122.0
820,8839,6.0,1019.0
821,156022,7.1,2954.0
822,7303,5.6,485.0
823,8963,7.0,498.0
824,1402,7.7,2525.0
825,9315,6.1,772.0
826,8984,5.9,210.0
827,795,6.4,529.0
828,24,7.7,4949.0
829,11353,6.0,254.0
830,393,7.6,3948.0
831,9618,6.1,458.0
832,9374,6.3,636.0
833,8584,6.2,735.0
834,2320,5.8,256.0
835,58224,5.7,751.0
836,1729,6.3,461.0
837,175574,5.7,254.0
838,8077,6.2,1633.0
839,8818,5.9,120.0
840,8195,6.7,658.0
841,10586,6.4,236.0
842,116149,7.0,883.0
843,80035,5.3,881.0
844,10632,6.0,189.0
845,12117,6.2,146.0
846,1792,5.1,188.0
847,13260,5.4,251.0
848,72197,6.4,374.0
849,3580,7.3,1131.0
850,12123,5.3,284.0
851,9566,5.7,194.0
852,9833,7.0,438.0
853,4517,6.6,303.0
854,8202,5.4,703.0
855,16072,6.1,48.0
856,34314,5.2,62.0
857,19724,5.7,134.0
858,145220,6.2,316.0
859,14623,4.2,91.0
860,42297,6.9,573.0
861,2841,7.1,346.0
862,802,7.3,395.0
863,10375,5.3,123.0
864,36586,6.2,1528.0
865,11321,7.5,2039.0
866,70074,5.2,481.0
867,242,7.1,1546.0
868,9621,6.1,327.0
869,1819,5.4,407.0
870,8536,6.5,629.0
871,8046,3.5,104.0
872,1717,5.7,95.0
873,479,5.5,308.0
874,9444,7.4,1432.0
875,824,7.4,1300.0
876,11456,5.4,113.0
877,261023,6.3,1242.0
878,3683,6.7,526.0
879,22803,7.2,1486.0
880,285923,6.8,459.0
881,39437,5.9,26.0
882,1950,5.4,81.0
883,640,7.7,3795.0
884,97630,6.7,1702.0
885,9767,5.6,832.0
886,11631,6.4,1386.0
887,32856,5.7,1013.0
888,6519,5.1,316.0
889,8741,7.2,771.0
890,49520,5.9,736.0
891,1850,6.9,435.0
892,524,7.8,1307.0
893,26389,6.1,675.0
894,11817,5.1,278.0
895,2123,6.1,927.0
896,9907,5.3,225.0
897,9969,5.1,109.0
898,18239,5.6,2436.0
899,808,7.3,4056.0
900,38050,6.5,1652.0
901,8367,6.6,909.0
902,9390,6.7,913.0
903,72105,6.3,4697.0
904,2898,7.2,915.0
905,10312,7.0,832.0
906,109443,6.0,923.0
907,2022,5.6,644.0
908,37686,6.6,2435.0
909,462,7.1,716.0
910,9919,6.3,850.0
911,187017,7.0,3319.0
912,628,7.2,1516.0
913,10201,6.4,1813.0
914,302699,6.2,1650.0
915,9441,6.9,277.0
916,274167,5.8,854.0
917,224141,5.6,1652.0
918,388,7.3,1630.0
919,2112,6.7,548.0
920,10329,5.0,213.0
921,74465,6.5,909.0
922,13811,5.9,1486.0
923,6877,5.5,399.0
924,10320,5.4,632.0
925,50646,7.0,2443.0
926,8920,5.2,820.0
927,13673,5.2,193.0
928,60308,7.0,1381.0
929,6950,6.3,513.0
930,225574,6.8,2268.0
931,13836,5.5,509.0
932,752,7.7,4442.0
933,6038,6.0,692.0
934,9975,6.2,106.0
935,11451,5.1,542.0
936,12103,6.0,220.0
937,60304,5.7,3239.0
938,2251,6.3,276.0
939,46529,5.9,1567.0
940,231,6.3,451.0
941,300671,7.0,938.0
942,228326,7.3,755.0
943,9754,5.6,267.0
944,66,6.4,223.0
945,4421,6.0,395.0
946,2649,7.5,1506.0
947,588,6.3,1067.0
948,10393,6.1,203.0
949,71552,6.1,1611.0
950,9631,6.8,582.0
951,216282,5.8,817.0
952,306,5.5,434.0
953,928,6.2,652.0
954,205587,7.2,1417.0
955,6623,5.8,255.0
956,1577,6.1,1267.0
957,9801,6.1,750.0
958,2116,6.1,298.0
959,9624,4.5,104.0
960,14199,4.4,269.0
961,1907,6.3,1233.0
962,4599,5.9,189.0
963,22832,6.2,371.0
964,10390,6.3,88.0
965,9879,4.4,205.0
966,38579,5.0,149.0
967,44603,5.8,510.0
968,11892,6.0,268.0
969,9691,6.0,387.0
970,1248,6.0,654.0
971,12220,5.9,75.0
972,72710,6.0,1817.0
973,10782,6.2,286.0
974,9573,6.1,206.0
975,4959,6.0,368.0
976,10061,5.6,373.0
977,10386,7.6,1436.0
978,421,7.1,775.0
979,316152,6.6,428.0
980,11615,7.3,480.0
981,13498,5.4,120.0
982,241554,6.3,1148.0
983,2252,7.2,848.0
984,11968,5.8,458.0
985,10047,6.2,367.0
986,38319,5.2,501.0
987,69668,5.8,391.0
988,9770,5.9,81.0
989,11212,5.8,274.0
990,10533,5.5,108.0
991,38363,6.5,235.0
992,9923,6.0,444.0
993,11863,5.2,44.0
994,18501,5.6,760.0
995,109491,5.6,984.0
996,9275,5.9,132.0
997,329833,4.7,797.0
998,12634,5.0,76.0
999,10416,5.4,37.0
1000,47327,5.3,600.0
1001,15268,3.9,112.0
1002,10796,5.7,437.0
1003,9548,6.2,71.0
1004,18947,7.2,666.0
1005,1900,6.9,562.0
1006,89,7.6,3152.0
1007,96724,6.5,639.0
1008,198184,6.6,3062.0
1009,9481,6.5,826.0
1010,4547,6.5,1267.0
1011,53953,4.3,13.0
1012,6415,6.6,692.0
1013,181283,6.1,547.0
1014,9896,6.0,518.0
1015,167,7.1,695.0
1016,11232,6.0,418.0
1017,1636,5.6,512.0
1018,2148,6.6,68.0
1019,5176,6.9,1188.0
1020,260346,6.1,2200.0
1021,1389,6.5,333.0
1022,9894,5.7,594.0
1023,7504,6.6,9.0
1024,8592,5.9,251.0
1025,913,6.6,339.0
1026,11091,6.5,103.0
1027,1368,7.2,1488.0
1028,593,7.7,357.0
1029,5393,4.6,104.0
1030,9095,5.7,74.0
1031,8874,6.3,584.0
1032,11467,5.5,252.0
1033,320,6.8,1148.0
1034,199,7.0,661.0
1035,20533,4.4,420.0
1036,10684,6.2,232.0
1037,1624,6.4,1424.0
1038,325789,6.6,573.0
1039,113464,6.5,2.0
1040,888,5.0,543.0
1041,82675,6.1,2757.0
